aaeo	Aquifex aeolicus
redCHONc	Chondrus crispus
redMADAe	Madagascaria erythrocladoides
redPORae	Porphyridium aerugineum
redPORpu	Porphyra purpurea
redRHOma	Rhodella maculata
redRHSOm	Rhodosorus marinus
redTIMSo	Timspurckia oligopyrenoides
rhiAMMOs	Ammonia sp.
rhiELPHm	Elphidium margitaceum
rhiMINch	Minchinia chitonis
rhiPARTg	Partenskyella glossopodia
rhiPLASb	Plasmodiophora brassicae
rhiROSAs	Rosalina sp.
rhiSORIs	Sorites sp.
rnor	Rattus norvegicus
rsol	Ralstonia solanacearum
saur	Staphylococcus aureus
scer	Saccharomyces cerevisiae
sent	Salmonella enterica
sfle	Shigella flexneri
sman	Schistosoma mansoni
spne	Streptococcus pneumoniae
spom	Schizosaccharomyces pombe
ssol	Sulfolobus solfataricus
strAPLAs	Aplanochytrium stocchinoi
strAURAl	Aurantiochytrium limacinum
strAUREa	Aureococcus anophagefferens
strCAFca	Cafeteria Caron
strCAFro	Cafeteria roenbergensis
strECTsi	Ectocarpus siliculosus
strNANNg	Nannochloropsis gaditana
strNANNO	Nannochloropsis gaditana B-31
strPHAtr	Phaeodactylum tricornutum
strSKEma	Skeletonema marinoi
strTHAps	Thalassiosira pseudonana
strTHRAs	Thraustochytrium sp.
syne	Synechococcus sp.
tbru	Trypanosoma brucei
tcru	Trypanosoma cruzi
tgon	Toxoplasma gondii
tmar	Thermotoga maritima
tpal	Treponema pallidum
tvol	Thermoplasma volcanium
vcho	Vibrio cholerae
wend	Wolbachia endosymbiont
wsuc	Wolinella succinogenes
ylip	Yarrowia lipolytica
ypes	Yersinia pestis
