glauCYApa	Cyanophora paradoxa
glauCYPTg	Cyanoptyche gloeocystis SAG4.97
glauGLOwi	Gloeochaete wittrockiana SAG46.84
grnBATHp	Bathycoccus prasinos
grnCHLAl	Chlamydomonas reinhardtii
grnCOCCs	Coccomyxa subellipsoidea
grnHELIs	Helicosporidium sp.
grnDUNAt	Dunaliella tertiolecta
grnMICpu	Micromonas pusilla CCMP1545
grnMICRZ	Micromonas pusilla
grnMONOn	Monoraphidium neglectum
grnNEPHp	Nephroselmis pyriformis
grnOSTRl	Ostreococcus lucimarinus
grnOSTRm	Ostreococcus mediterraneus
grnOSTRt	Ostreococcus tauri
grnPICCL	Picochlorum sp.
grnPICCY	Picocystis salinarum
grnPOLYp	Polytomella parva
grnPOLYZ	Polytomella parva
grnPRASc	Prasinococcus capsulatus
grnPYRam	Pyramimonas amylifera CCMP720
grnPYRpa	Pyramimonas parkeae CCMP726
grnPYRpZ	Pyramimonas parkeae
grnTETRa	Tetraselmis astigmatica
grnTETRs	Tetraselmis striata
grnVOLVc	Volvox carteri f. nagariensis
hapCALCl	Calcidiscus leptoporus
hapCHRYt	Chrysochromulina tobin
hapEXANg	Exanthemachrysis gayraliae
hapIMANT	Imantonia sp.
hapISOCHg	Isochrysis galbana
hapPAVLs	Pavlovales sp. CCMP2435
hapPHAan	Phaeocystis antarctica
hapPHEOC	Phaeocystis sp.
hapPLEUc	Pleurochrysis carterae
hapPRYMp	Prymnesium parvum
hapSCYPH	Scyphosphaera apsteinii
hapEMILh	Emiliania huxleyi
haptEMIZ	Emiliania huxleyi
haptPLEUc	Pleurochrysis carterae
haptPRYMp	Prymnesium parvum Texoma1
hetPERCO	Percolomonas cosmopolitus
kytAMBOt	Amborella trichopoda
kytARABt	Arabidopsis thaliana
grnARABl	Arabidopsis lyrata
grnCHARb	Chara braunii
kytGLYCm	Glycine max
kytHORDv	Hordeum vulgare
kytORYZs	Oryza sativa Japonica
kytPHYSp	Physcomitrella patens
kytSELAm	Selaginella moellendorffii
kytSOlyc	Solanum lycopersicum
grnPHYSp	Physcomitrella patens
grnSELAm	Selaginella moellendorffii
kytZEAma	Zea mays
metANOLc	Anolis carolinensis
metCAENe	Caenorhabditis elegans
metDAPHp	Daphnia pulex
metHELOr	Helobdella robusta
metLOAlo	Loa loa
metLOTTg	Lottia gigantea
metNEMAv	Nematostella vectensis
metSCHIm	Schistosoma mansoni
metSTROp	Strongylocentrotus purpuratus
metTRICa	Trichoplax adhaerens
opiACANT	Acanthoeca
opiCAPSo	Capsaspora owczarzaki
opiFONTa	Fonticula alba
opiMONbr	Monosiga brevicollis
opiMONOb	Monosiga brevicollis
opiSALPr	Salpingoeca rosetta
redAHNFf	Ahnfeltiopsis flabelliformis
redBETAp	Betaphycus philippinensis
redCHONc	Chondrus crispus
redCOMPS	Compsopogon caeruleus
redCYANm	Cyanidioschyzon merolae
redERYTa	Erythrolobus australicus
redERYTm	Erythrolobus madagascarensis
redGALDs	Galdieria sulphuraria
redGRACv	Gracilaria vermiculophylla
redGRATt	Grateloupia turuturu
redHETSp	Heterosiphonia pulchra
redMADAe	Madagascaria erythrocladioides
redPORae	Porphyridium aerugineum SAG 1380-2
redPORIp	Porphyridium purpureum
redPORum	Porphyra umbilicalis
redPORpu	Porphyra purpurea
redRHOma	Rhodella maculata CCMP736
redRHOSO	Rhodosorus marinus
redTIMSP	Timspurckia oligopyrenoides
rhiAMMOs	Ammonia sp.
rhiAMMOZ	Ammonia sp.
rhiELPHm	Elphidium margitaceum
rhiMINch	Minchinia chitonis
rhiPARTg	Partenskyella glossopodia RCC365
rhiPAULc	Paulinella chromatophora
rhiPLASb	Plasmodiophora brassicae
rhiRETIf	Reticulomyxa filosa
rhiROSAL	Rosalina
rhiSORIT	Sorites sp.
strACHLh	Achlya hypogyna
strALBUl	Albugo laibachii
strAPHAi	Aphanomyces invadans
strAPLAN	Aplanochytrium
strAURAl	Aurantiochytrium limacinum
strAURAZ	Aurantiochytrium limacinum
strAUREN	Aureococcus anophagefferens
strAUREE	Aureococcus anophagefferens
strAUREa	Aureococcus anophagefferens
strAUREl	Aureoumbra lagunensis
strBICOS	Bicosoecida sp. CB-2014
strBLASh	Blastocystis hominis
strBOLID	Bolidomonas sp.
strBOLIp	Bolidomonas pacifica
strCAFro	Cafeteria roenbergensis
strCAFsp	Cafeteria sp.
strCAFca	Cafeteria str Caron
strCHATs	Chattonella subsalsa
strCHRRH	Chrysoreinhardia sp.
strCYLIN	Cylindrotheca closterium
strDETON	Detonula confervacea
strDICTY	Dictyocha speculum
strDINOB	Dinobryon sp.
strDITYL	Ditylum brightwellii
strECTsi	Ectocarpus siliculosus
strEXTUs	Extubocellulus spinifer
strFRAGc	Fragilariopsis cylindrus
strFRAGk	Fragilariopsis kerguelensis
strHETak	Heterosigma akashiwo
strHONDf	Hondaea fermentalgiana
strHYALa	Hyaloperonospora arabidopsidis
strMALLO	Mallomonas sp.
strNANNg	Nannochloropsis gaditana
strNITZs	Nitzschia sp.
strOCHRO	Ochromonas sp.
strODONa	Odontella aurita
strPARAb	Paraphysomonas bandaiensis
strPELAG	Pelagomonas calceolata
strPELAs	Pelagophyceae CCMP2097
strPHAtr	Phaeodactylum tricornutum
strPHEOM	Phaeomonas parva
strPHYin	Phytophtora infestans
strPHYpa	Phytophthora parasitica
strPHYra	Phytophtora ramorum
strPINGU	Pinguiococcus pyrenoidosus
strPOTOs	Poterioochromonas sp. DS
strPSEUm	Pseudo-nitzschia multistriata
strPSEma	Pseudo-nitzschia multistriata
strPSEms	Pseudo-nitzschia multiseries
strPTERd	Pteridomonas danica
strPYTHu	Pythium ultimum var. sporangiiferum BR650
strPYTHv	Pythium vexans
strRHIZC	Rhizochromulina marina
strSAPRd	Saprolegnia diclina
strSKEco	Skeletonema costatum
strSPUMv	Spumella vulgaris
strSTAUR	Staurosira sp.
strSYNCR	Synchroma pusillum
strTHAoc	Thalassiosira oceanica
strTHAps	Thalassiosira pseudonana
